,중분류,소분류,도서명,판매지수,가격,출판일,링크
43,프로그래밍 언어,파이썬,컴퓨팅 사고와 함께하는 파이썬 기초부터 인공지능 응용까지,"4,200","24,000",2019년 12월,http://www.yes24.com//Product/Goods/86544334?OzSrank=44
44,프로그래밍 언어,파이썬,선형대수와 통계학으로 배우는 머신러닝 with 파이썬,"5,199","33,750",2021년 01월,http://www.yes24.com//Product/Goods/97032765?OzSrank=45
45,프로그래밍 언어,파이썬,파이썬으로 배우는 누구나 코딩,"3,762","25,000",2019년 08월,http://www.yes24.com//Product/Goods/78495227?OzSrank=46
46,컴퓨터 공학,컴퓨터 교육,Do it! 첫 파이썬,"13,668","12,600",2020년 04월,http://www.yes24.com//Product/Goods/89904189?OzSrank=47
47,프로그래밍 언어,파이썬,Do it! 점프 투 파이썬 + Do it! 첫 파이썬 ,0,"29,520",0001년 01월,http://www.yes24.com//Product/Goods/91446188?OzSrank=48
48,프로그래밍 언어,파이썬,인공지능,"7,164","30,000",2020년 02월,http://www.yes24.com//Product/Goods/87663844?OzSrank=49
49,컴퓨터 공학,컴퓨터 교육,데이터 과학을 위한 기초수학 with 파이썬,"2,676","24,700",2021년 01월,http://www.yes24.com//Product/Goods/96193172?OzSrank=50
50,프로그래밍 언어,파이썬,창의적 프로그래밍을 위한 파이썬,"4,134","23,000",2016년 08월,http://www.yes24.com//Product/Goods/30963475?OzSrank=51
51,OS/데이터베이스,클라우드/빅데이터,파이썬으로 배우는 머신러닝의 교과서,"3,684","26,100",0001년 01월,http://www.yes24.com//Product/Goods/79672557?OzSrank=52
52,프로그래밍 언어,파이썬,Do it! 점프 투 파이썬 + 딥러닝 입문,0,"34,740",2017년 08월,http://www.yes24.com//Product/Goods/46176430?OzSrank=53
53,컴퓨터 공학,소프트웨어 공학,문제해결과 컴퓨팅 사고를 위한 파이썬,"3,600","12,000",2020년 02월,http://www.yes24.com//Product/Goods/88240939?OzSrank=54
54,컴퓨터 공학,컴퓨터 교육,컴퓨팅 사고력 프로그래밍 파이썬 PYTHON,"2,094","22,000",2021년 01월,http://www.yes24.com//Product/Goods/97142842?OzSrank=55
55,프로그래밍 언어,파이썬,파이썬 자료구조와 알고리즘 for Beginner,"1,938","27,000",2020년 04월,http://www.yes24.com//Product/Goods/89999978?OzSrank=56
56,프로그래밍 언어,파이썬,파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자,"9,192","25,200",2021년 02월,http://www.yes24.com//Product/Goods/97584878?OzSrank=57
57,프로그래밍 언어,파이썬,창의적 컴퓨팅,"3,258","16,000",2019년 06월,http://www.yes24.com//Product/Goods/74258258?OzSrank=58
58,OS/데이터베이스,클라우드/빅데이터,파이썬 머신러닝 판다스 데이터 분석,"9,786","22,500",2021년 01월,http://www.yes24.com//Product/Goods/96541859?OzSrank=59
59,웹사이트,블로그/홈페이지 만들기,Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,"3,216","28,800",2020년 12월,http://www.yes24.com//Product/Goods/96546953?OzSrank=60
60,프로그래밍 언어,파이썬,프로그래밍의 정석 : 파이썬,"1,986","25,200",2018년 11월,http://www.yes24.com//Product/Goods/66317993?OzSrank=61
61,프로그래밍 언어,파이썬,Introduction to 파이썬,"1,866","22,500",2021년 03월,http://www.yes24.com//Product/Goods/97059137?OzSrank=62
62,OS/데이터베이스,클라우드/빅데이터,파이썬으로 경험하는 빅데이터 분석과 머신러닝,"1,638","27,000",2021년 02월,http://www.yes24.com//Product/Goods/97548788?OzSrank=63
63,프로그래밍 언어,파이썬,밑바닥부터 시작하는 딥러닝 3,"12,678","34,200",2020년 11월,http://www.yes24.com//Product/Goods/95343845?OzSrank=64
64,프로그래밍 언어,파이썬,윤성우의 열혈 파이썬 기초편,"5,946","14,400",2018년 11월,http://www.yes24.com//Product/Goods/67025877?OzSrank=65
65,오피스 활용,MS Excel(엑셀),일 잘하는 직장인을 위한 엑셀 자동화 with 파이썬,"5,481","27,000",2020년 11월,http://www.yes24.com//Product/Goods/94483920?OzSrank=66
66,프로그래밍 언어,파이썬,파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),"10,158","22,500",2020년 10월,http://www.yes24.com//Product/Goods/93376077?OzSrank=67
67,OS/데이터베이스,클라우드/빅데이터,밑바닥부터 시작하는 딥러닝 2,"17,763","26,100",2019년 05월,http://www.yes24.com//Product/Goods/72173703?OzSrank=68
68,프로그래밍 언어,프로그래밍 언어 기타,파이썬으로 시작하는 로봇 활용 SW 교육 : 햄스터,"2,598","16,200",2020년 03월,http://www.yes24.com//Product/Goods/88429236?OzSrank=69
69,OS/데이터베이스,클라우드/빅데이터,파이썬으로 배우는 통계학 교과서,"4,026","27,000",2019년 11월,http://www.yes24.com//Product/Goods/83532333?OzSrank=70
70,프로그래밍 언어,파이썬,핵심만 쏙쏙 파이썬,"3,768","19,000",2020년 02월,http://www.yes24.com//Product/Goods/88319108?OzSrank=71
71,프로그래밍 언어,파이썬,게임으로 배우는 파이썬,"6,438","15,300",2019년 03월,http://www.yes24.com//Product/Goods/70916900?OzSrank=72
72,프로그래밍 언어,파이썬,컴퓨터비전과 머신러닝,0,"26,000",2021년 02월,http://www.yes24.com//Product/Goods/97952348?OzSrank=73
73,컴퓨터 공학,컴퓨터 교육,Do it! 첫 코딩 with 파이썬,"2,874","16,200",2021년 01월,http://www.yes24.com//Product/Goods/96580456?OzSrank=74
74,프로그래밍 언어,파이썬,Python으로 시작하는 빅데이터분석 및 인공지능,"2,526","26,000",2021년 02월,http://www.yes24.com//Product/Goods/97697238?OzSrank=75
75,OS/데이터베이스,클라우드/빅데이터,이것이 데이터 분석이다 with 파이썬,"7,491","25,200",2020년 02월,http://www.yes24.com//Product/Goods/87039632?OzSrank=76
76,프로그래밍 언어,파이썬,파이썬으로 배우는 알고리즘 트레이딩,"10,671","36,000",2019년 03월,http://www.yes24.com//Product/Goods/70804948?OzSrank=77
77,OS/데이터베이스,MySQL,이것이 MySQL이다,"8,910","28,800",2020년 05월,http://www.yes24.com//Product/Goods/90118480?OzSrank=78
78,프로그래밍 언어,파이썬,모두의 알고리즘 with 파이썬,"6,276","14,400",2017년 05월,http://www.yes24.com//Product/Goods/40443936?OzSrank=79
79,프로그래밍 언어,파이썬,파이썬 입문,"5,004","22,500",2020년 06월,http://www.yes24.com//Product/Goods/89961758?OzSrank=80
80,컴퓨터 공학,소프트웨어 공학,파이썬 코딩의 기술(개정2판),"4,956","28,800",2020년 10월,http://www.yes24.com//Product/Goods/94197582?OzSrank=81
81,OS/데이터베이스,클라우드/빅데이터,"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로","11,157","29,700",2019년 05월,http://www.yes24.com//Product/Goods/73270768?OzSrank=82
82,프로그래밍 언어,파이썬,직장인을 위한 데이터 분석 실무 with 파이썬 (개정판),"3,534","25,200",2020년 11월,http://www.yes24.com//Product/Goods/94973144?OzSrank=83
83,컴퓨터 공학,소프트웨어 공학,마인크래프트로 배우는 파이썬 프로그래밍,"2,394","22,500",2016년 08월,http://www.yes24.com//Product/Goods/30123117?OzSrank=84
84,프로그래밍 언어,파이썬,파이썬 자료구조와 알고리즘,"4,968","19,800",2019년 06월,http://www.yes24.com//Product/Goods/74971408?OzSrank=85
85,프로그래밍 언어,파이썬,파이썬 프로그래밍 교과서,"1,926","20,700",2019년 04월,http://www.yes24.com//Product/Goods/71966864?OzSrank=86
86,컴퓨터 공학,인공지능,텐서플로우2와 케라스를 이용한 고급딥러닝,0,"42,000",2021년 02월,http://www.yes24.com//Product/Goods/97912623?OzSrank=87
87,프로그래밍 언어,파이썬,파이썬 데이터 사이언스 핸드북,"2,886","34,200",2017년 09월,http://www.yes24.com//Product/Goods/50330345?OzSrank=88
88,프로그래밍 언어,파이썬,모두의 인공지능 with 파이썬,"3,162","19,800",2020년 12월,http://www.yes24.com//Product/Goods/96262613?OzSrank=89
89,프로그래밍 언어,파이썬,처음 시작하는 파이썬,"3,648","32,400",2020년 08월,http://www.yes24.com//Product/Goods/91870652?OzSrank=90
90,프로그래밍 언어,파이썬,파이썬 정복 ,"1,956","19,800",2018년 04월,http://www.yes24.com//Product/Goods/59470886?OzSrank=91
91,프로그래밍 언어,프로그래밍 교육,손가락 하나 까딱하지 않는 주식 거래 시스템 구축,"16,206","24,300",2020년 04월,http://www.yes24.com//Product/Goods/89999945?OzSrank=92
92,네트워크/해킹/보안,네트워크 일반,파이썬으로 배우는 디지털 신호처리,"2,172","26,000",2020년 06월,http://www.yes24.com//Product/Goods/90770850?OzSrank=93
93,프로그래밍 언어,파이썬,파이썬으로 만드는 OpenCV 프로젝트,"3,741","32,400",2019년 03월,http://www.yes24.com//Product/Goods/71534451?OzSrank=94
94,프로그래밍 언어,파이썬,Python으로 배우는 문제해결과 인공지능,"2,064","23,000",2021년 02월,http://www.yes24.com//Product/Goods/97702064?OzSrank=95
95,프로그래밍 언어,파이썬,"파이썬 웹 프로그래밍, 실전편 ","6,876","28,800",2019년 11월,http://www.yes24.com//Product/Goods/80855594?OzSrank=96
96,프로그래밍 언어,파이썬,데이터를 다루며 배우는 파이썬,"1,374","16,200",2019년 08월,http://www.yes24.com//Product/Goods/77401048?OzSrank=97
97,컴퓨터 공학,컴퓨터 교육,연오의 파이썬,"1,356","17,820",2020년 12월,http://www.yes24.com//Product/Goods/96426841?OzSrank=98
98,프로그래밍 언어,파이썬,파이썬,"1,338","20,700",2017년 01월,http://www.yes24.com//Product/Goods/35188929?OzSrank=99
99,프로그래밍 언어,파이썬,파이썬과 리액트를 활용한 주식 자동거래 시스템 구축,"7,794","25,200",2020년 02월,http://www.yes24.com//Product/Goods/87579013?OzSrank=100
100,프로그래밍 언어,파이썬,전문가를 위한 파이썬 ,"4,410","49,500",2016년 08월,http://www.yes24.com//Product/Goods/30231768?OzSrank=101
101,OS/데이터베이스,클라우드/빅데이터,파이썬 데이터 분석 입문,"2,820","24,300",2017년 10월,http://www.yes24.com//Product/Goods/53584364?OzSrank=102
102,프로그래밍 언어,파이썬,데이터 분석을 위한 파이썬 철저 입문,"3,192","25,200",2019년 04월,http://www.yes24.com//Product/Goods/72133792?OzSrank=103
103,프로그래밍 언어,파이썬,파이썬 웹 프로그래밍,"8,076","19,800",2018년 08월,http://www.yes24.com//Product/Goods/63503495?OzSrank=104
104,프로그래밍 언어,파이썬,파이썬 학습 로드맵 세트,0,"64,800",2019년 11월,http://www.yes24.com//Product/Goods/82145777?OzSrank=105
105,프로그래밍 언어,파이썬,코딩 초보자를 위한 데이터 중심의 파이썬 프로그래밍,"1,788","22,000",2019년 12월,http://www.yes24.com//Product/Goods/89564297?OzSrank=106
106,프로그래밍 언어,파이썬,파이썬 데이터 분석 실무 테크닉 100,"4,602","23,400",2020년 07월,http://www.yes24.com//Product/Goods/91302724?OzSrank=107
107,프로그래밍 언어,파이썬,진지한 파이썬,"1,833","25,200",2021년 01월,http://www.yes24.com//Product/Goods/96789375?OzSrank=108
108,프로그래밍 언어,파이썬,파이썬 딥러닝 머신러닝 입문,"1,998","22,500",2021년 01월,http://www.yes24.com//Product/Goods/96087004?OzSrank=109
109,프로그래밍 언어,파이썬,파이썬과 케라스로 배우는 강화학습,"3,858","25,200",2020년 04월,http://www.yes24.com//Product/Goods/89784478?OzSrank=110
110,프로그래밍 언어,파이썬,케라스 창시자에게 배우는 딥러닝,"12,747","29,700",2018년 10월,http://www.yes24.com//Product/Goods/65050162?OzSrank=111
111,공학계열,컴퓨터공학,파이썬을 사용한 프로그래밍 입문 ,894,"23,000",2016년 03월,http://www.yes24.com//Product/Goods/24557224?OzSrank=112
112,프로그래밍 언어,파이썬,모던 파이썬 입문,942,"23,400",2019년 10월,http://www.yes24.com//Product/Goods/79651820?OzSrank=113
113,OS/데이터베이스,클라우드/빅데이터,금융 파이썬 쿡북,"1,437","31,500",2021년 02월,http://www.yes24.com//Product/Goods/97246281?OzSrank=114
114,프로그래밍 언어,파이썬,파이썬으로 배우는 자연어 처리 인 액션,"2,619","31,500",2020년 03월,http://www.yes24.com//Product/Goods/89232661?OzSrank=115
115,프로그래밍 언어,파이썬,처음 만나는 파이썬,948,"19,800",2017년 03월,http://www.yes24.com//Product/Goods/38097960?OzSrank=116
116,컴퓨터 공학,소프트웨어 공학,파이썬으로 배우는 소프트웨어 디자인,864,"20,000",2020년 02월,http://www.yes24.com//Product/Goods/89553202?OzSrank=117
117,프로그래밍 언어,파이썬,파이썬으로 배우는 게임 개발 입문편,"2,316","25,200",2020년 10월,http://www.yes24.com//Product/Goods/93802364?OzSrank=118
118,프로그래밍 언어,파이썬,윤성우의 열혈 파이썬 중급편,"4,254","14,400",2019년 10월,http://www.yes24.com//Product/Goods/81519650?OzSrank=119
119,프로그래밍 언어,파이썬,나의 첫 파이썬,"2,124","27,000",2020년 07월,http://www.yes24.com//Product/Goods/90900588?OzSrank=120
120,프로그래밍 언어,파이썬,파이썬 Jupyter Notebook 실전 입문  ,"1,224","22,500",2018년 06월,http://www.yes24.com//Product/Goods/61262127?OzSrank=121
121,OS/데이터베이스,클라우드/빅데이터,파이썬으로 데이터 주무르기,"5,109","24,750",2017년 12월,http://www.yes24.com//Product/Goods/57670268?OzSrank=122
122,프로그래밍 언어,파이썬,파이썬으로 배우는 블록체인 구조와 이론,"2,022","24,300",2019년 05월,http://www.yes24.com//Product/Goods/72227615?OzSrank=123
123,프로그래밍 언어,파이썬,실무자를 위한 파이썬 Python 100제,"4,656","18,000",2020년 02월,http://www.yes24.com//Product/Goods/89342359?OzSrank=124
124,프로그래밍 언어,파이썬,배프의 오지랖 파이썬 웹프로그래밍,"1,530","19,800",2019년 03월,http://www.yes24.com//Product/Goods/69758579?OzSrank=125
125,프로그래밍 언어,파이썬,바이오파이썬으로 만나는 생물정보학,"2,892","23,400",2019년 03월,http://www.yes24.com//Product/Goods/70861061?OzSrank=126
126,오피스 활용,MS Excel(엑셀),엑셀 x 파이썬 업무 자동화,"2,514","16,200",2020년 12월,http://www.yes24.com//Product/Goods/95551349?OzSrank=127
127,컴퓨터 공학,소프트웨어 공학,파이썬을 활용한 소프트웨어 아키텍처,"1,128","36,000",2020년 12월,http://www.yes24.com//Product/Goods/96364238?OzSrank=128
128,프로그래밍 언어,파이썬,파이썬 알고리즘,618,"27,000",2021년 01월,http://www.yes24.com//Product/Goods/97119739?OzSrank=129
129,프로그래밍 언어,파이썬,모두의 파이썬&알고리즘 합본호,"2,952","23,400",2018년 12월,http://www.yes24.com//Product/Goods/67327129?OzSrank=130
130,프로그래밍 언어,파이썬,모두의 인공지능 기초 수학,"10,953","22,500",2020년 08월,http://www.yes24.com//Product/Goods/91358533?OzSrank=131
131,컴퓨터 공학,자료구조/알고리즘,Hello Coding 그림으로 개념을 이해하는 알고리즘,"5,262","19,800",2017년 04월,http://www.yes24.com//Product/Goods/37885448?OzSrank=132
132,프로그래밍 언어,C++,OpenCV-Python으로 배우는 영상처리 및 응용,"2,478","35,000",2020년 11월,http://www.yes24.com//Product/Goods/95785417?OzSrank=133
133,프로그래밍 언어,파이썬,파이썬 클린 코드 ,"2,892","25,200",2019년 02월,http://www.yes24.com//Product/Goods/69064790?OzSrank=134
134,컴퓨터 공학,컴퓨터 교육,파이썬 네트워크 프로그래밍,"1,506","27,000",2020년 03월,http://www.yes24.com//Product/Goods/90428642?OzSrank=135
135,사회과학 계열,통계학,누구나 파이썬 통계분석,"3,312","24,700",2020년 04월,http://www.yes24.com//Product/Goods/89972967?OzSrank=136
136,프로그래밍 언어,파이썬,바로 쓰는 파이썬 : 기초 편,"1,542","25,000",2019년 02월,http://www.yes24.com//Product/Goods/70750827?OzSrank=137
137,컴퓨터 입문/활용,어른을 위한 컴퓨터,깔끔한 파이썬 탄탄한 백엔드,"2,982","24,300",2019년 01월,http://www.yes24.com//Product/Goods/68713424?OzSrank=138
138,프로그래밍 언어,파이썬,PYTHON 파이썬만 잡아도,300,"25,000",2018년 07월,http://www.yes24.com//Product/Goods/62057071?OzSrank=139
139,프로그래밍 언어,파이썬,문과생을 위한 파이썬,930,"16,650",2020년 07월,http://www.yes24.com//Product/Goods/90981956?OzSrank=140
140,프로그래밍 언어,파이썬,초보자를 위한 파이썬 200제,"2,826","18,000",2017년 02월,http://www.yes24.com//Product/Goods/36836557?OzSrank=141
141,프로그래밍 언어,파이썬,파이썬 튜토리얼,528,"32,000",2019년 02월,http://www.yes24.com//Product/Goods/72140694?OzSrank=142
142,3-4학년,3-4학년 학습,파이썬으로 무인도 탈출하기,"2,598","12,600",2019년 08월,http://www.yes24.com//Product/Goods/78215635?OzSrank=143
143,컴퓨터 입문/활용,어린이 컴퓨터,똑똑한 파이썬,"1,428","11,700",2019년 07월,http://www.yes24.com//Product/Goods/73164726?OzSrank=144
144,프로그래밍 언어,파이썬,파이썬 프로그래밍,642,"34,000",2020년 01월,http://www.yes24.com//Product/Goods/86023334?OzSrank=145
145,프로그래밍 언어,파이썬,파이썬 GUI 프로그래밍 쿡북 2/e,"2,676","31,500",2018년 04월,http://www.yes24.com//Product/Goods/59871444?OzSrank=146
146,프로그래밍 언어,파이썬,머신 러닝·딥 러닝에 필요한 기초 수학 with 파이썬,"2,403","24,300",2020년 11월,http://www.yes24.com//Product/Goods/94433523?OzSrank=147
147,웹사이트,HTML/JavaScript/CSS/jQuery,Do it! 점프 투 장고,"2,742","17,820",2021년 01월,http://www.yes24.com//Product/Goods/96376772?OzSrank=148
148,컴퓨터 공학,컴퓨터 교육,컴퓨터 사이언스 부트캠프 with 파이썬,906,"21,600",2018년 02월,http://www.yes24.com//Product/Goods/58552941?OzSrank=149
149,프로그래밍 언어,파이썬,누구나 쉽게 배우는 파이썬 프로그래밍,804,"24,300",2013년 08월,http://www.yes24.com//Product/Goods/9313650?OzSrank=150
150,프로그래밍 언어,파이썬,파이썬 프로그래밍으로 지루한 작업 자동화하기,"1,992","27,000",2019년 01월,http://www.yes24.com//Product/Goods/36067504?OzSrank=151
151,네트워크/해킹/보안,보안/해킹,파이썬으로 웹 크롤러 만들기,"3,930","22,500",2019년 03월,http://www.yes24.com//Product/Goods/71047040?OzSrank=152
152,프로그래밍 언어,파이썬,뇌를 자극하는 파이썬 3 ,"1,332","22,500",2016년 02월,http://www.yes24.com//Product/Goods/24309262?OzSrank=153
153,OS/데이터베이스,클라우드/빅데이터,모두의 데이터 과학 with 파이썬,"2,634","19,800",2017년 07월,http://www.yes24.com//Product/Goods/43633333?OzSrank=154
154,프로그래밍 언어,파이썬,코딩 강화 파이썬,708,"17,820",2019년 06월,http://www.yes24.com//Product/Goods/74589276?OzSrank=155
155,프로그래밍 언어,파이썬,"파이썬을 이용한 머신러닝, 딥러닝 실전 앱 개발","1,512","24,300",2019년 03월,http://www.yes24.com//Product/Goods/71051687?OzSrank=156
156,프로그래밍 언어,파이썬,딥러닝 머신러닝을 위한 파이썬 넘파이,"2,976","31,500",2020년 06월,http://www.yes24.com//Product/Goods/90496469?OzSrank=157
157,컴퓨터 공학,마이크로 프로세서,모두의 라즈베리 파이 with 파이썬,"2,544","23,400",2019년 01월,http://www.yes24.com//Product/Goods/68816867?OzSrank=158
158,프로그래밍 언어,파이썬,파이썬으로 코딩하는 물리,450,"29,000",2021년 03월,http://www.yes24.com//Product/Goods/97676769?OzSrank=159
159,프로그래밍 언어,파이썬,"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문","3,900","27,000",2019년 12월,http://www.yes24.com//Product/Goods/84802550?OzSrank=160
160,OS/데이터베이스,클라우드/빅데이터,파이썬 날코딩으로 알고 짜는 딥러닝,"2,670","40,500",2019년 07월,http://www.yes24.com//Product/Goods/75732024?OzSrank=161
161,프로그래밍 언어,파이썬,프로그래머를 위한 파이썬,"1,344","22,500",2020년 11월,http://www.yes24.com//Product/Goods/94865600?OzSrank=162
162,프로그래밍 언어,파이썬,잡아라! 텍스트 마이닝 with 파이썬,"2,145","15,300",2019년 04월,http://www.yes24.com//Product/Goods/72231434?OzSrank=163
163,컴퓨터 입문/활용,어른을 위한 컴퓨터,"한 번 배운 파이썬, 나만의 활용 스킬","1,794","18,000",2020년 07월,http://www.yes24.com//Product/Goods/91227262?OzSrank=164
164,컴퓨터 입문/활용,어린이 컴퓨터,아두이노와 피지컬 컴퓨팅 with 파이썬,822,"14,400",2018년 12월,http://www.yes24.com//Product/Goods/67449987?OzSrank=165
165,프로그래밍 언어,파이썬,파이썬이 보이는 그림책,924,"15,300",2018년 07월,http://www.yes24.com//Product/Goods/62233388?OzSrank=166
166,프로그래밍 언어,파이썬,깐깐하게 배우는 파이썬 3,708,"19,800",2019년 01월,http://www.yes24.com//Product/Goods/68834616?OzSrank=167
167,프로그래밍 언어,파이썬,씽크 파이썬 Think Python,822,"19,800",2017년 10월,http://www.yes24.com//Product/Goods/50280783?OzSrank=168
168,게임,게임 기획,마인크래프트와 함께 즐겁게 파이썬,"1,482","23,400",2018년 11월,http://www.yes24.com//Product/Goods/66884670?OzSrank=169
169,프로그래밍 언어,파이썬,생각대로 파이썬 파이썬 첫걸음,408,"20,700",2021년 01월,http://www.yes24.com//Product/Goods/96669652?OzSrank=170
170,네트워크/해킹/보안,보안/해킹,파이썬 해킹 입문,768,"20,700",2014년 12월,http://www.yes24.com//Product/Goods/15333939?OzSrank=171
171,프로그래밍 언어,파이썬,The Python - 파이썬 프로그래밍(합본),456,"54,800",2019년 07월,http://www.yes24.com//Product/Goods/76890401?OzSrank=172
172,프로그래밍 언어,파이썬,쏙 들어오는 파이썬 프로그래밍,252,"20,000",2020년 12월,http://www.yes24.com//Product/Goods/95734439?OzSrank=173
173,프로그래밍 언어,파이썬,C#과 파이썬을 활용한 OpenCV 4 프로그래밍,"3,078","31,500",2019년 08월,http://www.yes24.com//Product/Goods/77186885?OzSrank=174
174,프로그래밍 언어,파이썬,파이썬과 함께 배우는 신호와 시스템,438,"28,000",2020년 03월,http://www.yes24.com//Product/Goods/89563900?OzSrank=175
175,투자/재테크,재테크일반,파이썬으로 배우는 금융 분석 2/e,672,"34,200",2017년 11월,http://www.yes24.com//Product/Goods/56882179?OzSrank=176
176,OS/데이터베이스,클라우드/빅데이터,파이썬으로 배우는 딥러닝 교과서,"1,308","34,200",2020년 03월,http://www.yes24.com//Product/Goods/89233031?OzSrank=177
177,컴퓨터 공학,컴퓨터 교육,파이썬3 입문과 활용,663,"24,300",2021년 02월,http://www.yes24.com//Product/Goods/97544587?OzSrank=178
178,사회과학 계열,통계학,통계학 : 파이썬을 이용한 분석,810,"30,000",2018년 08월,http://www.yes24.com//Product/Goods/63859643?OzSrank=179
179,프로그래밍 언어,파이썬,파이썬으로 텍스트 분석하기,864,"17,100",2018년 12월,http://www.yes24.com//Product/Goods/77708059?OzSrank=180
180,프로그래밍 언어,파이썬,파이썬과 OpenCV를 이용한 컴퓨터 비전 학습,"1,248","31,500",2018년 11월,http://www.yes24.com//Product/Goods/67022158?OzSrank=181
181,프로그래밍 언어,파이썬,파이썬 마이크로서비스,540,"31,500",2019년 05월,http://www.yes24.com//Product/Goods/73161840?OzSrank=182
182,프로그래밍 언어,파이썬,생활코딩! 파이썬,"1,908","17,100",2020년 03월,http://www.yes24.com//Product/Goods/89837435?OzSrank=183
183,OS/데이터베이스,클라우드/빅데이터,파이썬으로 데이터 마이닝 시작하기,984,"18,900",2019년 12월,http://www.yes24.com//Product/Goods/84781000?OzSrank=184
184,컴퓨터 공학,컴퓨터 교육,"파이썬 기반의 AI를 위한 기초수학, 확률 및 통계","1,698","32,000",2020년 03월,http://www.yes24.com//Product/Goods/89594875?OzSrank=185
185,프로그래밍 언어,파이썬,슬기로운 파이썬생활 데이터 싹쓰리 & 업무자동화,720,"33,000",2020년 11월,http://www.yes24.com//Product/Goods/95878638?OzSrank=186
186,프로그래밍 언어,파이썬,자기주도 파이썬,465,"15,000",2019년 04월,http://www.yes24.com//Product/Goods/72214838?OzSrank=187
187,컴퓨터 공학,소프트웨어 공학,파이썬 디자인 패턴 2/e,"1,290","13,500",2018년 11월,http://www.yes24.com//Product/Goods/67024256?OzSrank=188
188,프로그래밍 언어,파이썬,파이썬을 이용한 웹 크롤링과 스크레이핑,"2,520","27,000",2018년 03월,http://www.yes24.com//Product/Goods/59307498?OzSrank=189
189,프로그래밍 언어,파이썬,파이썬으로 배우는 웹 크롤러,594,"22,500",2018년 01월,http://www.yes24.com//Product/Goods/57917885?OzSrank=190
190,컴퓨터 입문/활용,어린이 컴퓨터,순서도로 배우는 파이썬,318,"17,000",2016년 06월,http://www.yes24.com//Product/Goods/28344646?OzSrank=191
191,프로그래밍 언어,파이썬,파이썬을 활용한 나만의 RPA 만들기 (2021),738,"25,000",2021년 01월,http://www.yes24.com//Product/Goods/96535228?OzSrank=192
192,프로그래밍 언어,파이썬,파이썬 Python 1학년,642,"15,300",2018년 12월,http://www.yes24.com//Product/Goods/67451303?OzSrank=193
193,프로그래밍 언어,파이썬,파이썬을 활용한 딥러닝 전이학습,"1,656","27,000",2019년 10월,http://www.yes24.com//Product/Goods/79659977?OzSrank=194
194,컴퓨터 공학,네트워크/데이터 통신,파이썬 네트워킹 마스터 2/e,696,"31,500",2019년 10월,http://www.yes24.com//Product/Goods/80771025?OzSrank=195
195,프로그래밍 언어,파이썬,누구나 파이썬 Python 너도 데이터 가지고 놀 수 있어!,"1,194","16,200",2020년 01월,http://www.yes24.com//Product/Goods/86962608?OzSrank=196
196,컴퓨터 입문/활용,어른을 위한 컴퓨터,코드업과 함께 하는 파이썬&문제 해결,"1,128","14,400",2020년 11월,http://www.yes24.com//Product/Goods/95287470?OzSrank=197
197,프로그래밍 언어,파이썬,마이크로비트로 배우는 파이썬,"1,587","16,920",2020년 02월,http://www.yes24.com//Product/Goods/86897854?OzSrank=198
198,OS/데이터베이스,클라우드/빅데이터,프로그래머를 위한 베이지안 with 파이썬,"1,218","24,300",2017년 11월,http://www.yes24.com//Product/Goods/57237963?OzSrank=199
199,OS/데이터베이스,클라우드/빅데이터,금융 데이터를 위한 파이썬,"1,818","21,600",2020년 06월,http://www.yes24.com//Product/Goods/90593157?OzSrank=200
200,사회과학 계열,통계학,파이썬을 이용한 통계적 머신러닝,180,"32,000",2021년 02월,http://www.yes24.com//Product/Goods/97684463?OzSrank=201
201,프로그래밍 언어,파이썬,컴퓨터 비전공자를 위한 파이썬을 활용한 기초컴퓨터프로그래밍,"1,422","24,000",2017년 08월,http://www.yes24.com//Product/Goods/58479239?OzSrank=202
202,OS/데이터베이스,클라우드/빅데이터,머신러닝을 위한 파이썬 한 조각,"1,284","21,600",2020년 02월,http://www.yes24.com//Product/Goods/87663679?OzSrank=203
203,프로그래밍 언어,파이썬,파이썬을 활용한 금융 분석 ,846,"37,800",2016년 06월,http://www.yes24.com//Product/Goods/27727661?OzSrank=204
204,OS/데이터베이스,클라우드/빅데이터,파이썬을 이용한 빅데이터 분석,498,"25,000",2018년 06월,http://www.yes24.com//Product/Goods/61177004?OzSrank=205
205,공학계열,컴퓨터공학,비전공자의데이터분석을위한 파이썬기초,324,"15,000",2018년 10월,http://www.yes24.com//Product/Goods/65490086?OzSrank=206
206,컴퓨터 입문/활용,어린이 컴퓨터,수학으로 배우는 파이썬,834,"11,700",2020년 08월,http://www.yes24.com//Product/Goods/92311051?OzSrank=207
207,네트워크/해킹/보안,네트워크 일반,파이썬을 활용한 지리공간 분석 마스터하기,"1,206","36,000",2019년 03월,http://www.yes24.com//Product/Goods/69772178?OzSrank=208
208,프로그래밍 언어,파이썬,스파르타! 파이썬 포렌식,252,"25,200",2020년 10월,http://www.yes24.com//Product/Goods/93400101?OzSrank=209
209,OS/데이터베이스,클라우드/빅데이터,파이썬과 대스크를 활용한 고성능 데이터 분석,672,"25,200",2015년 04월,http://www.yes24.com//Product/Goods/17406828?OzSrank=210
