,중분류,소분류,도서명,판매지수,가격,출판일,링크
318,프로그래밍 언어,파이썬,파이썬 해킹프로그래밍,246,"14,000",2015년 09월,http://www.yes24.com//Product/Goods/20471927?OzSrank=319
319,프로그래밍 언어,파이썬,러닝스쿨! 파이썬 교과서,228,"19,800",2019년 03월,http://www.yes24.com//Product/Goods/71029675?OzSrank=320
320,프로그래밍 언어,파이썬,유튜버 주간컴공 지마&참깨의 프리패스 파이썬,192,"16,200",2017년 07월,http://www.yes24.com//Product/Goods/44133115?OzSrank=321
321,프로그래밍 언어,파이썬,이공학을 위한 파이썬 프로그래밍,186,"22,000",2020년 09월,http://www.yes24.com//Product/Goods/93391899?OzSrank=322
322,프로그래밍 언어,파이썬,비공대생을 위한 코딩 첫걸음 with 파이썬,210,"18,000",2020년 03월,http://www.yes24.com//Product/Goods/89785457?OzSrank=323
323,프로그래밍 언어,파이썬,파이썬 프로젝트 Active 개발 가이드,126,"18,000",2020년 09월,http://www.yes24.com//Product/Goods/92419712?OzSrank=324
324,프로그래밍 언어,파이썬,"파이썬 기초의 모든 것, 14개의 코딩 이야기!",102,"10,800",2019년 08월,http://www.yes24.com//Product/Goods/78213057?OzSrank=325
325,프로그래밍 언어,파이썬,Getting Start Python(파이썬)2nd,48,"22,500",2018년 04월,http://www.yes24.com//Product/Goods/59578583?OzSrank=326
326,프로그래밍 언어,파이썬,파이썬 웹 프로그래밍 에센셜 개정판,42,"22,200",2019년 04월,http://www.yes24.com//Product/Goods/72273492?OzSrank=327
327,프로그래밍 언어,파이썬,한 권으로 배우는 파이썬 기초 & 알고리즘 사고법,"1,044","27,000",2021년 02월,http://www.yes24.com//Product/Goods/97584256?OzSrank=328
328,3-4학년,3-4학년 학습,비주얼 코딩 스크래치&파이썬 ,558,"17,820",2018년 07월,http://www.yes24.com//Product/Goods/61975286?OzSrank=329
329,프로그래밍 언어,파이썬,파이썬으로 배우는 영상처리,606,"33,000",2016년 12월,http://www.yes24.com//Product/Goods/34960810?OzSrank=330
330,프로그래밍 언어,파이썬,파이썬으로 배우는 인공지능,270,"36,000",2020년 01월,http://www.yes24.com//Product/Goods/83555436?OzSrank=331
331,프로그래밍 언어,파이썬,파이썬으로 배우는 데이터 과학 2/e ,114,"27,000",2017년 05월,http://www.yes24.com//Product/Goods/39862331?OzSrank=332
332,프로그래밍 언어,파이썬,코어 파이썬 애플리케이션 프로그래밍 Core Python Applications Programming Third Edition,60,"45,000",2017년 12월,http://www.yes24.com//Product/Goods/57237118?OzSrank=333
333,OS/데이터베이스,클라우드/빅데이터,파이썬답게 코딩하기,210,"18,000",2014년 01월,http://www.yes24.com//Product/Goods/11949670?OzSrank=334
334,프로그래밍 언어,파이썬,작심 3일 파이썬 Python,144,"16,200",2018년 04월,http://www.yes24.com//Product/Goods/60493752?OzSrank=335
335,프로그래밍 언어,파이썬,파이썬으로 시작하는 라즈베리파이 3,150,"16,000",2019년 04월,http://www.yes24.com//Product/Goods/72149483?OzSrank=336
336,프로그래밍 언어,파이썬,파이썬으로 배우는 프로그래밍 기초,132,"13,000",2018년 03월,http://www.yes24.com//Product/Goods/59574608?OzSrank=337
337,3-4학년,3-4학년 학습,비주얼 수학 + 비주얼 코딩 스크래치&파이썬 세트,0,"37,440",2016년 08월,http://www.yes24.com//Product/Goods/89464542?OzSrank=338
338,프로그래밍 언어,파이썬,파이썬의 신,60,"24,300",2016년 12월,http://www.yes24.com//Product/Goods/34961592?OzSrank=339
339,프로그래밍 언어,파이썬,파이썬 3로 컴퓨터 비전 다루기,300,"21,600",2016년 12월,http://www.yes24.com//Product/Goods/34569812?OzSrank=340
340,프로그래밍 언어,파이썬,파이썬 프로그래밍 개론,288,"31,500",2018년 01월,http://www.yes24.com//Product/Goods/58094056?OzSrank=341
341,프로그래밍 언어,파이썬,예제로 쉽게 배우는 파이썬 프로그래밍,444,"22,000",2016년 11월,http://www.yes24.com//Product/Goods/33503382?OzSrank=342
342,프로그래밍 언어,파이썬,알고리즘과 파이썬,456,"27,000",2020년 08월,http://www.yes24.com//Product/Goods/92099428?OzSrank=343
343,컴퓨터 공학,자료구조/알고리즘,필수 알고리즘 with 파이썬,414,"14,400",2019년 08월,http://www.yes24.com//Product/Goods/77203392?OzSrank=344
344,프로그래밍 언어,파이썬,파이썬 웹 스크래핑 2/e ,168,"22,500",2018년 10월,http://www.yes24.com//Product/Goods/65050088?OzSrank=345
345,프로그래밍 언어,파이썬,쉽게 배우는 파이썬 with 컴퓨팅 사고력,366,"20,000",2018년 12월,http://www.yes24.com//Product/Goods/67533263?OzSrank=346
346,프로그래밍 언어,파이썬,함수형 파이썬 프로그래밍,198,"27,000",2017년 08월,http://www.yes24.com//Product/Goods/45018659?OzSrank=347
347,프로그래밍 언어,파이썬,차근차근 파이썬 코딩 실습 (기본편),360,"22,500",2017년 02월,http://www.yes24.com//Product/Goods/35868948?OzSrank=348
348,프로그래밍 언어,파이썬,파이썬 입문 A to Z,372,"14,850",2020년 07월,http://www.yes24.com//Product/Goods/91742640?OzSrank=349
349,프로그래밍 언어,파이썬,파이썬 완벽 가이드,96,"34,200",2019년 06월,http://www.yes24.com//Product/Goods/74265336?OzSrank=350
350,프로그래밍 언어,파이썬,파이썬 라이브러리로 배우는 딥러닝 입문과 응용,84,"25,200",2012년 04월,http://www.yes24.com//Product/Goods/6694057?OzSrank=351
351,프로그래밍 언어,파이썬,개발자를 위한 파이썬,204,"18,000",2018년 12월,http://www.yes24.com//Product/Goods/67293302?OzSrank=352
352,프로그래밍 언어,파이썬,유쾌한 파이썬,12,"21,600",2017년 11월,http://www.yes24.com//Product/Goods/55997735?OzSrank=353
353,네트워크/해킹/보안,보안/해킹,파이썬 해킹 프로그래밍,72,"22,500",2015년 11월,http://www.yes24.com//Product/Goods/23203039?OzSrank=354
354,프로그래밍 언어,파이썬,R과 파이썬 머신러닝 어프로치,228,"35,000",2010년 01월,http://www.yes24.com//Product/Goods/3648481?OzSrank=355
355,프로그래밍 언어,파이썬,프로그래밍이 보인다! 파이썬 입문,36,"12,600",2020년 05월,http://www.yes24.com//Product/Goods/90554031?OzSrank=356
356,프로그래밍 언어,파이썬,"파이썬 더 쉽게, 더 깊게",72,"23,400",2015년 09월,http://www.yes24.com//Product/Goods/20256738?OzSrank=357
357,프로그래밍 언어,파이썬,파이썬 터틀 그래픽을 이용한 프로그래밍 코딩,144,"20,000",2014년 09월,http://www.yes24.com//Product/Goods/14422282?OzSrank=358
358,프로그래밍 언어,파이썬,처음 만나는 알고리즘 + 처음 만나는 파이썬,0,"36,900",2017년 09월,http://www.yes24.com//Product/Goods/45542659?OzSrank=359
359,프로그래밍 언어,파이썬,파이썬 입문에서 활용까지 세트,0,"62,550",2017년 04월,http://www.yes24.com//Product/Goods/41733133?OzSrank=360
360,네트워크/해킹/보안,보안/해킹,해커의 언어 파이썬 3 입문,60,"22,500",2018년 03월,http://www.yes24.com//Product/Goods/59435907?OzSrank=361
361,OS/데이터베이스,클라우드/빅데이터,구글로 공부하는 파이썬,150,"37,800",2018년 03월,http://www.yes24.com//Product/Goods/59217554?OzSrank=362
362,프로그래밍 언어,파이썬,파이썬 플레이그라운드,12,"27,000",2018년 03월,http://www.yes24.com//Product/Goods/59066361?OzSrank=363
363,OS/데이터베이스,클라우드/빅데이터,머신 러닝 인 파이썬,12,"24,300",2016년 11월,http://www.yes24.com//Product/Goods/33236405?OzSrank=364
364,프로그래밍 언어,파이썬,파이썬 네트워크 자동화,168,"40,500",2015년 11월,http://www.yes24.com//Product/Goods/23023041?OzSrank=365
365,프로그래밍 언어,파이썬,파이썬 인 프랙티스,144,"25,200",2019년 07월,http://www.yes24.com//Product/Goods/76456160?OzSrank=366
366,프로그래밍 언어,파이썬,코딩 부트캠프 with 파이썬,108,"18,000",2014년 09월,http://www.yes24.com//Product/Goods/14306425?OzSrank=367
367,프로그래밍 언어,파이썬,파이썬 핵심 개발자들과의 인터뷰,132,"16,920",2017년 12월,http://www.yes24.com//Product/Goods/57521036?OzSrank=368
368,프로그래밍 언어,파이썬,알기쉬운 파이썬,96,"23,000",2019년 01월,http://www.yes24.com//Product/Goods/67340568?OzSrank=369
369,OS/데이터베이스,클라우드/빅데이터,머신 러닝 부트캠프 with 파이썬 ,120,"19,800",2018년 05월,http://www.yes24.com//Product/Goods/61268446?OzSrank=370
370,네트워크/해킹/보안,보안/해킹,"해커의 언어, 치명적 파이썬",108,"21,600",2018년 05월,http://www.yes24.com//Product/Goods/60897073?OzSrank=371
371,컴퓨터 입문/활용,어린이 컴퓨터,코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기 ,108,"9,000",2013년 02월,http://www.yes24.com//Product/Goods/8433461?OzSrank=372
372,자연과학 계열,수학,파이썬 활용 산업응용수학의 기본,120,"15,000",2015년 11월,http://www.yes24.com//Product/Goods/22907162?OzSrank=373
373,프로그래밍 언어,파이썬,파이썬 Phython,132,"25,000",2020년 09월,http://www.yes24.com//Product/Goods/91418972?OzSrank=374
374,프로그래밍 언어,파이썬,더 탄탄하게 배우는 파이썬 3,60,"18,000",2020년 02월,http://www.yes24.com//Product/Goods/89417518?OzSrank=375
375,프로그래밍 언어,파이썬,컴맹을 위한 파이썬,90,"10,800",2018년 08월,http://www.yes24.com//Product/Goods/63796161?OzSrank=376
376,프로그래밍 언어,파이썬,손에 잡히는 파이썬,72,"39,600",2018년 07월,http://www.yes24.com//Product/Goods/62163360?OzSrank=377
