,분류,강사,강의명,찜하기,링크
58,투잡 · 레이먼드,직장인 투잡 BEST 스마트스토어로 300 벌기,2458명이 찜했습니다!4.7(69),도서포함,https://taling.me/vod/view/19805
59,리뷰 100건+@,출판/글쓰기 · Stella,한 달만에 잘 팔리는 웹소설 작가되기,2853명이 찜했습니다!4.9(281),https://taling.me/vod/view/19121
60,리뷰 100건+@,디지털드로잉 · nini,아이패드 드로잉으로 나만의 이모티콘 만들기,도서포함,https://taling.me/vod/view/18398
61,그래픽디자인 · 호조,호조가 말하는 선택받는 캐릭터 디자인,257명이 찜했습니다!5(9),257명이 찜했습니다!5(9),https://taling.me/vod/view/30866
62,영상제작 · 소똘,전문가에게 밀리지 않는 영상 제작 비결,486명이 찜했습니다!5(17),486명이 찜했습니다!5(17),https://taling.me/vod/view/30199
63,그래픽디자인 · Min,디테일부터 바로잡는 일러스트&포토샵 툴 기초,1074명이 찜했습니다!5(52),1074명이 찜했습니다!5(52),https://taling.me/vod/view/29527
64,영상제작 · 솔파,0에서 100만 뷰가 되는 유튜브 영상 제작,1221명이 찜했습니다!5(73),1221명이 찜했습니다!5(73),https://taling.me/vod/view/27565
65,리뷰 100건+@,그래픽디자인 · 문가든,한 번 배우면 평생 써먹는 일러스트 끝내기,도서포함,https://taling.me/vod/view/7633
66,리뷰 100건+@,그래픽디자인 · 빙각,디자인으로 배우는 실전 포토샵,도서포함,https://taling.me/vod/view/7632
67,리뷰 100건+@,영상편집 · 소똘,여행영상으로 배우는 프리미어 ALL IN ONE,2547명이 찜했습니다!4.9(128),https://taling.me/vod/view/7623
68,PT/GX · 비타민 신지니,집에서 편안하고 꾸준하게! 홈필라테스 기초 레시피,472명이 찜했습니다!5(52),472명이 찜했습니다!5(52),https://taling.me/vod/view/28365
