,정보,강의명,좋아요,정가,할인율,링크
169,부동산/주식/재테크・프로그램 동산,"[BEST 선물] 주식 자동화 코딩을 실전투자로 재밌게 배우기, 왕초보부터 고수까지",1347,"199,000원",35%,https://class101.net/products/GNNMfyIfdxmlByRtMbdI
170,데이터/개발・잔재미코딩,파이썬과 SQL로 배우는 데이터 분석 입문 풀패키지!,1331,"436,000원",46%,https://class101.net/products/frsqaRHmeWDTZwvy0yBt
171,영상/디자인・클래스101,"[BIG 2] 더 완벽한 디자인을 향해, 포스터 제작과 레터링",1325,"249,000원",32%,https://class101.net/products/4Nol3zelnQNn6UC3Dxx7
172,온라인쇼핑몰・향기TV,레드오션 쇼핑몰 시장에서 살아남기! 블루오션 시장 찾는 방법,1314,"369,000원",37%,https://class101.net/products/Q0hMx8kzjfSUoL5Iijam
173,영상/디자인・뱃지만드는 뱃수,"특별한 핀뱃지 디자인, 3cm 안에 가장 빛나는 가치를 담다.",1281,"199,000원",22%,https://class101.net/products/DgbCgaxDs4n4KaD9P3EN
174,온라인쇼핑몰・스튜디오 콩크리트,쇼핑몰과 SNS를 위한 제품 촬영 : 연출부터 상세페이지까지,1270,"292,800원",45%,https://class101.net/products/DZpP1fzSjtL57kY1dQl0
175,비즈니스/생산성・채자영 X 위즈덤하우스,"1,000억원 수주 받은 비밀! 스토리텔링 프레젠테이션의 모든 것",1264,"649,000원",53%,https://class101.net/products/gLzuv4GnEcYAJymXLZrz
176,부동산/주식/재테크・클래스101,"[BIG 2] 주식투자, 제대로 공부하고 자동주식매매까지 한 번에 끝내기",1256,"229,000원",34%,https://class101.net/products/eVf4jIVS1t5rreErJKKf
177,온라인쇼핑몰・쇼피셀러 글렌,"[명예의 TOP20] 6억 인구가 몰려있는 쇼피, 지금 바로 시작하기!",1253,"309,000원",58%,https://class101.net/products/ZQh656roDLZnsLSmxhWs
178,영상/디자인・애니메이터 남,[BEST 선물] 마야로 만드는 피규어 스타일 3D 캐릭터,1243,"199,000원",25%,https://class101.net/products/EQSsaPauoSmWnPoDP7ld
179,창업・화장품일타,화장품 소자본 창업하기! 창업 시간과 비용을 아껴드립니다.,1216,"229,000원",21%,https://class101.net/products/l3SxzjiSe3AnA6ilD1h0
180,글쓰기/콘텐츠・편집자K,"문학동네 편집팀장, 편집자K와 함께하는 출판 편집 실무",1185,500원,79%,https://class101.net/products/UBNMsXOO8ZXMUXwRwDOu
181,사진/영상・SAMSUNG,[101원] 갤럭시 탭 S7/S7+로 여행 영상 편집하기!,1185,"229,000원",34%,https://class101.net/products/cRfhyRrJQPbRq1er28pX
182,온라인쇼핑몰・유창한대표,[BEST 선물] 초보도 천만 원 매출 낼 수 있는 쿠팡 마켓플레이스,1162,"309,000원",54%,https://class101.net/products/E9jfiX9nAaq5ZwGjOJLY
183,영상/디자인・레트로캣,"[BEST 선물] 점으로 만든 세상, 픽셀아트의 세계로 초대합니다",1166,"648,000원",29%,https://class101.net/products/z1BZTzJF8figBHGV5qT3
184,창업・클래스101,[BIG 2] 머니해커의 자동으로 돈 버는 프로그램 입문부터 심화까지!,1162,"149,000원",6%,https://class101.net/products/FBbWo8jN3bQctLfDZRPJ
185,영상/디자인・정주,프로뮤비 감독이 알려주는 누구나 할 수 있는 비주얼디렉팅과 영상 입문 하는 법,1165,"199,000원",35%,https://class101.net/products/BJ6jqqbdjjWP097BqV3H
186,SNS/콘텐츠・진용진,구독자 192만 진용진이 알려드립니다. 현실적인 유튜브 수익창출 방법!,1155,"422,900원",32%,https://class101.net/products/1RosxvekE3qFVmvibOFp
