,중분류,소분류,도서명,판매지수,가격,출판일,링크
962,프로그래밍 언어,프로그래밍 언어 기타,러닝 프로세싱,"1,032","31,500","다니엘 쉬프만 저 / 유하영,전우영 공역 | 비제이퍼블릭(BJ퍼블릭) | 2016년 07월",http://www.yes24.com/Product/Goods/29376146
963,웹사이트,웹기획,처음부터 다시 배우는 웹 기획,"3,204","25,200","정재용,최준호,조영수 공저 | 한빛미디어 | 2016년 07월",http://www.yes24.com/Product/Goods/29331049
964,프로그래밍 언어,C,그림으로 배우는 C Programing,"2,220","16,200",Mana Takahashi 저 | 영진닷컴 | 2016년 07월,http://www.yes24.com/Product/Goods/29191776
965,오피스 활용,MS Excel(엑셀),엑셀&파워포인트&워드 2016 무작정 따라하기,"1,320","14,400","박미정,박은진 공저 | 길벗 | 2016년 02월",http://www.yes24.com/Product/Goods/24389604
966,공학계열,컴퓨터공학,대학생을 위한 스크래치 프로그래밍,852,"18,000",김종훈 저 | 한빛아카데미 | 2016년 02월,http://www.yes24.com/Product/Goods/24340752
967,공학계열,컴퓨터공학,데이터베이스 기초와 실습 ,"1,842","25,000",김지연 저 | 한빛아카데미 | 2015년 12월,http://www.yes24.com/Product/Goods/23668350
968,프로그래밍 언어,C++,Effective Modern 이펙티브 모던 C++,"3,228","25,200",스콧 마이어스 저 / 류광 역 | 인사이트(insight) | 2015년 09월,http://www.yes24.com/Product/Goods/20288684
969,모바일 프로그래밍,안드로이드폰,앱 인벤터 2 ,"1,794","24,000","David Wolber,Hal Abelson,Ellen Spertus,Liz Looney 공저 / 오일석,이진선 공역 | 한빛아카데미 | 2015년 07월",http://www.yes24.com/Product/Goods/19359444
970,웹사이트,UI/UX,파워포인트 for 인포그래픽,"8,772","16,200",이혜강 저 | 예문사 | 2015년 05월,http://www.yes24.com/Product/Goods/17879563
971,게임,게임 개발,디지털 게임과 현대사회,414,"23,000","노기영,이영수 공저 | 커뮤니케이션북스 | 2015년 02월",http://www.yes24.com/Product/Goods/16965950
972,오피스 활용,MS Excel(엑셀),엑셀 2013,"1,524","20,000",하숙정 저 | 한빛아카데미 | 2015년 02월,http://www.yes24.com/Product/Goods/16809704
973,오피스 활용,한글,컴선생 여우님이 알려주는 한글 2010,"3,405","6,300",방과후교육연구회 저 | 해람북스 | 2015년 01월,http://www.yes24.com/Product/Goods/15821593
974,게임,게임 기획,왜 게임에 빠질까,"1,392","18,000","와타나베 슈우지,나카무라 아키노리 저/김성재 역 | 길벗 | 2014년 11월",http://www.yes24.com/Product/Goods/15260960
