,링크,강좌명,등록수,가격,시간당 단가
41,https://taling.me/Home/Search//Talent/Detail/3145,"[R studio] 데이터사이언스, 시작은 통계 분석부터!",0,"200,000","25,000"
42,https://taling.me/Home/Search//Talent/Detail/20992,"데이터 추출 요청은 그만, 3시간 만에 활용하는 SQL",0,"54,000","18,000"
43,https://taling.me/Home/Search//Talent/Detail/20380,[1:1 수업] 파이썬을 활용한 엑셀 업무 자동화 #반복업무 싫어요 #정시퇴근할래요,0,"180,000","30,000"
44,https://taling.me/Home/Search//Talent/Detail/5541,머신러닝을 위한 기초 수학 1달 속성코스(수포자 환영),0,"200,000","20,000"
45,https://taling.me/Home/Search//Talent/Detail/7167,[R/데이터/실무] 입사 전에 배우는 가장 실전적인 R : 데이터 처리 및 분석 / 엑셀과의 작별...,0,"144,000","18,000"
46,https://taling.me/Home/Search//Talent/Detail/6376,[Tableau] 오늘 배워서 내일 실무에 적용하는 태블로!,0,"300,000","25,000"
47,https://taling.me/Home/Search//Talent/Detail/727,DataScience부터 최신 AI 트렌드 정리,0,"45,000","15,000"
48,https://taling.me/Home/Search//Talent/Detail/1783,중요한건 '통계학적 사고'다,0,"160,000","20,000"
49,https://taling.me/Home/Search//Talent/Detail/16436,[4주 완성] 문과생도 할 수 있다! 쉽게 배우는 머신러닝/데이터 사이언스,0,"200,000","25,000"
50,https://taling.me/Home/Search//Talent/Detail/13426,기본부터 실무까지 구글애널리틱스(GA) 1Day 완벽정복,0,"80,000","20,000"
51,https://taling.me/Home/Search//Talent/Detail/8901,데이터 분석 & 시각화 ( with R ),0,"200,000","25,000"
52,https://taling.me/Home/Search//Talent/Detail/14859,실무 개발자에게 배우는 파이썬과 머신러닝 기초 (AI/인공지능/딥러닝/프로그래밍/데이터분석),0,"160,000","20,000"
53,https://taling.me/Home/Search//Talent/Detail/8141,[원데이] 빅데이터를 활용한 시뮬레이션 모델링,0,"50,000","25,000"
54,https://taling.me/Home/Search//Talent/Detail/14277,S그룹인재원 주관 핵심인재 대상 4년 연속 진행된 [데이터 사고력 & 스토리텔링] 원데이 강의,0,"200,000","40,000"
55,https://taling.me/Home/Search//Talent/Detail/2415,DataScience부터 최신 AI 트렌드 정리,0,"92,000","23,000"
56,https://taling.me/Home/Search//Talent/Detail/5158,"기초통계 이론과 함께하는 R 데이터 분석(시각화, 전처리)",0,"312,000","39,000"
